Year,Population Growth Rate,Growth Rate
2024,"1,44,17,19,852",0.92%
2023,"1,42,86,27,663",0.81%
2022,"1,41,71,73,173",0.68%
2021,"1,40,75,63,842",0.80%
2020,"1,39,63,87,127",0.96%
2019,"1,38,31,12,050",1.03%
2018,"1,36,90,03,306",1.09%
2017,"1,35,41,95,680",1.16%
2016,"1,33,86,36,340",1.19%
2015,"1,32,28,66,505",1.19%
2014,"1,30,72,46,509",1.25%
2013,"1,29,11,32,063",1.31%
2012,"1,27,44,87,215",1.34%
2011,"1,25,76,21,191",1.37%
2010,"1,24,06,13,620",1.39%
2009,"1,22,36,40,160",1.40%
2008,"1,20,67,34,806",1.43%
2007,"1,18,96,91,809",1.48%
2006,"1,17,23,73,788",1.54%
2005,"1,15,46,38,713",1.62%
2004,"1,13,62,64,583",1.69%
2003,"1,11,74,15,123",1.74%
2002,"1,09,83,13,039",1.79%
2001,"1,07,89,70,907",1.82%
2000,"1,05,96,33,675",1.84%
1999,"1,04,05,00,054",1.87%
1998,"1,02,14,34,576",1.91%
1997,"1,00,23,35,230",1.94%
1996,"98,32,81,218",1.97%
1995,"96,42,79,129",2.01%
1994,"94,52,61,958",2.04%
1993,"92,63,51,297",2.07%
1992,"90,75,74,049",2.10%
1991,"88,89,41,756",2.12%
1990,"87,04,52,165",2.16%
1989,"85,20,12,673",2.19%
1988,"83,37,29,681",2.21%
1987,"81,57,16,125",2.24%
1986,"79,78,78,993",2.26%
1985,"78,02,42,084",2.27%
1984,"76,28,95,156",2.29%
1983,"74,58,26,546",2.28%
1982,"72,91,69,466",2.29%
1981,"71,28,69,298",2.30%
1980,"69,68,28,385",2.29%
1979,"68,12,48,383",2.25%
1978,"66,62,67,760",2.24%
1977,"65,16,85,628",2.23%
1976,"63,74,51,448",2.23%
1975,"62,35,24,219",2.26%
1974,"60,97,21,951",2.28%
1973,"59,61,07,483",2.28%
1972,"58,28,37,973",2.25%
1971,"56,99,99,178",2.24%
1970,"55,75,01,301",2.23%
1969,"54,53,14,670",2.23%
1968,"53,34,31,909",2.19%
1967,"52,19,87,069",2.15%
1966,"51,09,92,617",2.18%
1965,"50,01,14,346",2.26%
1964,"48,90,59,309",2.33%
1963,"47,79,33,619",2.34%
1962,"46,70,24,193",2.34%
1961,"45,63,51,876",2.33%
1960,"44,59,54,579",2.31%
1959,"43,59,00,352",2.25%
1958,"42,62,95,763",2.25%
1957,"41,69,35,399",2.28%
1956,"40,76,56,597",2.28%
1955,"39,85,77,992",2.27%
1954,"38,97,31,406",2.23%
1953,"38,12,27,705",2.21%
1952,"37,29,97,188",2.21%
1951,"36,49,22,360",2.21%
1950,"35,70,21,100",0.00%
